customer_id,name,email,registration_date,city,country
54,Customer_54,customer54@email.com,2/23/2020,Phoenix,USA
55,Customer_55,customer55@email.com,2/24/2020,Chicago,USA
56,Customer_56,customer56@email.com,2/25/2020,New York,USA
57,Customer_57,customer57@email.com,2/26/2020,Houston,USA
58,Customer_58,customer58@email.com,2/27/2020,Los Angeles,USA
59,Customer_59,customer59@email.com,2/28/2020,Houston,USA
60,Customer_60,customer60@email.com,2/29/2020,Los Angeles,USA
61,Customer_61,customer61@email.com,3/1/2020,Los Angeles,USA
62,Customer_62,customer62@email.com,3/2/2020,Houston,USA
63,Customer_63,customer63@email.com,3/3/2020,Phoenix,USA
64,Customer_64,customer64@email.com,3/4/2020,Los Angeles,USA
65,Customer_65,customer65@email.com,3/5/2020,Los Angeles,USA
66,Customer_66,customer66@email.com,3/6/2020,Houston,USA
67,Customer_67,customer67@email.com,3/7/2020,Los Angeles,USA
68,Customer_68,customer68@email.com,3/8/2020,Los Angeles,USA
69,Customer_69,customer69@email.com,3/9/2020,Houston,USA
70,Customer_70,customer70@email.com,3/10/2020,Houston,USA
71,Customer_71,customer71@email.com,3/11/2020,New York,USA
72,Customer_72,customer72@email.com,3/12/2020,Phoenix,USA
73,Customer_73,customer73@email.com,3/13/2020,Phoenix,USA
74,Customer_74,customer74@email.com,3/14/2020,Los Angeles,USA
75,Customer_75,customer75@email.com,3/15/2020,Phoenix,USA
76,Customer_76,customer76@email.com,3/16/2020,Los Angeles,USA
77,Customer_77,customer77@email.com,3/17/2020,New York,USA
78,Customer_78,customer78@email.com,3/18/2020,Houston,USA
79,Customer_79,customer79@email.com,3/19/2020,Houston,USA
80,Customer_80,customer80@email.com,3/20/2020,Houston,USA
81,Customer_81,customer81@email.com,3/21/2020,Phoenix,USA
82,Customer_82,customer82@email.com,3/22/2020,New York,USA
83,Customer_83,customer83@email.com,3/23/2020,Phoenix,USA
84,Customer_84,customer84@email.com,3/24/2020,Phoenix,USA
85,Customer_85,customer85@email.com,3/25/2020,New York,USA
86,Customer_86,customer86@email.com,3/26/2020,New York,USA
87,Customer_87,customer87@email.com,3/27/2020,New York,USA
88,Customer_88,customer88@email.com,3/28/2020,New York,USA
89,Customer_89,customer89@email.com,3/29/2020,Houston,USA
90,Customer_90,customer90@email.com,3/30/2020,Chicago,USA
91,Customer_91,customer91@email.com,3/31/2020,Chicago,USA
92,Customer_92,customer92@email.com,4/1/2020,New York,USA
93,Customer_93,customer93@email.com,4/2/2020,Chicago,USA
94,Customer_94,customer94@email.com,4/3/2020,Chicago,USA
95,Customer_95,customer95@email.com,4/4/2020,New York,USA
96,Customer_96,customer96@email.com,4/5/2020,Chicago,USA
97,Customer_97,customer97@email.com,4/6/2020,Phoenix,USA
98,Customer_98,customer98@email.com,4/7/2020,Los Angeles,USA
99,Customer_99,customer99@email.com,4/8/2020,New York,USA
100,Customer_100,customer100@email.com,4/9/2020,New York,USA
101,Customer_99,customer99@email.com,4/8/2020,new york,USA
102,Customer_99,customer99@email.com,4/8/2020,New York,USA
103,Customer_99,customer99@email.com,4/8/2020,NEW YORK,USA
104,Customer_99,customer99@email.com,4/8/2020,NY,USA
105,Customer_99,customer99@email.com,4/8/2020,ny,USA
106,Customer_99,customer99@email.com,4/8/2020,NeW YoRK,USA
107,Customer_99,customer99@email.com,4/8/2020,new york,USA
108,Customer_99,customer99@email.com,4/8/2020,New York,USA
109,Customer_99,customer99@email.com,4/8/2020,NEW YORK,USA
110,Customer_99,customer99@email.com,4/8/2020,NY,USA
111,Customer_33,customer33@email.com,2/2/2020,los angeles,USA
112,Customer_33,customer33@email.com,2/2/2020,Los Angeles,USA
113,Customer_33,customer33@email.com,2/2/2020,LOS ANGELES,USA
114,Customer_33,customer33@email.com,2/2/2020,LA,USA
115,Customer_33,customer33@email.com,2/2/2020,la,USA
116,Customer_33,customer33@email.com,2/2/2020,LoS aNgElEs,USA
117,Customer_33,customer33@email.com,2/2/2020,los angeles,USA
118,Customer_33,customer33@email.com,2/2/2020,Los Angeles,USA
119,Customer_33,customer33@email.com,2/2/2020,LOS ANGELES,USA
120,Customer_33,customer33@email.com,2/2/2020,LA,USA
121,Customer_33,customer33@email.com,2/2/2020,la,USA
122,Customer_33,customer33@email.com,2/2/2020,LoS aNgElEs,USA
123,Customer_33,customer33@email.com,2/2/2020,los angeles,USA
124,Customer_33,customer33@email.com,2/2/2020,Los Angeles,USA
125,Customer_33,customer33@email.com,2/2/2020,LOS ANGELES,USA
