id,name,email,phone,age,department,hire_date,salary
59,Alice Johnson,jane@email.com,+1 555 123 4567,200,Finance,2024-01-09,51954.99591742288
60,Jane Smith,jane@email.com,(555) 123-4567,32,Marketing,2020-10-19,80681.371540916
61,Jane Smith,mike@email.com,(555) 123-4567,45,IT,2024-10-28,173332.64950411228
62,Alice Johnson,bob@email.com,555123456,48,Marketing,2024-06-14,63379.03159540314
63,Mike Brown,bob@email.com,(555) 123-4567,26,Finance,2020-03-17,72045.2710784204
64,Jane Smith,bob@email.comm,+1-555-123-4567,30,Sales,2023-10-05,14639.083476216238
65,Jane Smith,bob@email.com,+1-555-123-4567,41,HR,2023-10-26,56901.16900419008
66,Alice Johnson,alice@email.com,(555) 123-4567,33,Marketing,2020-11-18,47220.77458599901
67,Jane Smith,john@email.com,555.123.4567,25,Finance,2023-04-18,
68,Jane Smith,bob@email.com,5551234567,40,IT,2023-12-13,167805.4660221742
69,Alice Johnson,john@email.com,555.123.4567,41,Finance,2021-01-02,83998.81866396549
70,Alice Johnson,jane@email.com,+1 555 123 4567,31,IT,2024-09-21,153372.12748387296
71,John Doe,mike@email.com,555123,35,Sales,2021-01-30,-448.7202973089079
72,Mike Brown,jane@email.com,+1 555 123 4567,29,HR,2022-01-23,67955.09531936399
73,Mike Brown,bob@email.c,(555) 123-4567,24,Marketing,2021-06-24,66196.40018846434
74,Jane Smith,jane@email.com,+1 555 123 4567,30,Finance,2020-10-12,109039.33909850064
75,Mike Brown,alice@email.c,(555) 123-4567,35,Finance,2024-08-12,93550.16388627118
76,Jane Smith,john@email.com,+1 555 123 4567,20,Marketing,2023-09-22,66011.72734667966
77,John Doe,bob@email.com,5551234567,30,IT,2020-11-04,167318.98540335975
78,Alice Johnson,alice@email.com,+1 555 123 4567,35,HR,2020-08-06,58642.67709790052
79,Alice Johnson,john@email.com,555.123.4567,46,Sales,2022-02-28,34313.505409274105
80,Alice Johnson,alice@email.cm,(555) 123-4567,31,Marketing,2022-08-13,69283.92946604898
81,Mike Brown,jane@email.com,+1-555-123-4567,22,HR,2022-03-27,58742.17625122372
82,John Doe,bob@email.com,+1 555 123 4567,32,Finance,2022-08-02,97105.02616182966
83,Mike Brown,jane@email.c,(555) 123-4567,29,HR,2021-01-25,52637.18589325784
84,Mike Brown,mike@email.com,+1-555-123-4567,40,Sales,2052-07-12,12754.460652052087
85,John Doe,bob@email.com,55512345,31,HR,2020-01-11,53977.00102924442
86,John Doe,jane@email.com,(555) 123-4567,7,Finance,2020-01-16,68775.61861720752
87,John Doe,bob@email.com,+1-555-123-4567,71,Sales,2023-04-20,15435.208127948568
88,John Doe,john@email.com,+1-555-123-4567,36,Sales,2024-09-16,24770.568660910154
89,Alice Johnson,bob@email.com,5551234567,35,Sales,2021-07-01,19049.299116755803
90,Bob Wilson,bob@email.com,+1 555 123 4567,19,Finance,2022-12-10,99732.9717444136
91,Bob Wilson,john@email.com,+1 555 123 4567,20,IT,2020-05-29,158395.79493585308
92,John Doe,jane@email.cam,5551234,34,Finance,2024-02-20,48077.98794899648
93,Bob Wilson,bob@email.com,555.123.4567,-10,IT,2021-02-24,178100.35499596893
94,Bob Wilson,alice@email.com,555.123.4567,42,IT,2023-07-06,165475.15827932447
95,John Doe,bob@email.com,5551234,37,Finance,2023-08-07,
96,Bob Wilson,jane@email.com,5551234567,23,HR,2021-09-16,43692.685645707934
97,Mike Brown,john@email.com,+1-555-123-4567,9,Finance,2023-10-17,51745.476325012016
98,Jane Smith,jane@email.com,(555) 123-4567,33,Sales,2024-05-09,10173.97895473752
99,Jane Smith,mike@email.com,+1 555 123 4567,29,HR,2021-02-28,54560.06183024192
100,John Doe,bob@email.com,555.123.4567,22,Marketing,2020-10-20,63189.58024857223
101,Alice Johnson,bob@email.com,555.123.4567,43,Marketing,2024-10-17,62006.972348891126
102,John Doe,john@email.com,555.123.4567,19,Marketing,2022-06-04,49706.19515128173
103,Alice Johnson,bob@email.com,5551234567,41,Sales,2052-08-29,41735.38053727965
104,Jane Smith,alice@email.com,155512345,20,Sales,2021-06-06,19288.451650355415
105,John Doe,alice@email.c,5551234567,36,IT,2023-05-15,188419.21748280682
106,Mike Brown,jane@email.com,+1-555-123-4567,44,Sales,2020-09-26,24401.28982831195
107,Bob Wilson,john@email.m,(555) 123-4567,31,IT,2022-10-01,180510.74723797647
108,Alice Johnson,mike@email.comm,(555) 123-4567,51,Marketing,2020-12-02,58539.887244348596
109,Bob Wilson,jane@email.com,555.123.4567,54,Finance,2024-04-05,57284.354137030066
110,Bob Wilson,john@email.com,555.123.4567,37,Finance,2023-12-06,77202.54205709655
111,John Doe,john@email.com,+1-555-123-4567,40,Sales,2024-06-30,26720.124337683792
112,Bob Wilson,jane@email.com,5551234567,45,Marketing,2023-01-30,71017.49780651908
113,Mike Brown,jane@email.c,+1 555 123 4567,40,Marketing,2022-10-17,68550.72167186499
114,Bob Wilson,bob@email.com,+1-555-123-4567,39,IT,2021-07-25,187917.7171576078
115,John Doe,mike@email.com,(555) 123-4567,29,IT,2021-06-29,168918.30724879415
116,Mike Brown,alice@email.cm,(555) 123-4567,-10,Marketing,2022-12-24,62209.25684471954
117,Jane Smith,bob@email.com,5551234567,21,Sales,2023-05-23,17197.426946118194
118,Bob Wilson,john@email.com,+1-555-123-4567,58,Sales,2024-11-30,10336.121287704393
119,John Doe,mike@email.com,+1 555 123 4567,38,Marketing,2020-12-26,67638.56660116762
120,Jane Smith,mike@email.com,+1-555-123-4567,32,Finance,2022-01-16,96223.47956456406
121,Jane Smith,jane@email.com,+1-555-123-4567,47,Finance,2023-08-28,101134.72449541159
122,Alice Johnson,mike@email.com,5551234567,27,IT,2022-12-29,162031.73992859124
123,Mike Brown,mike@email.com,+1 555 123 4567,-10,Marketing,2022-10-30,64524.29310132961
124,Bob Wilson,john@email.com,(555) 123-4567,35,Finance,2020-08-03,70376.11062757907
125,John Doe,bob@email.com,555.123.4567,39,Sales,2024-11-22,31619.8083927764
126,Alice Johnson,mike@email.com,+1 555 123 4567,31,HR,2022-04-23,40123.36360362076
127,Mike Brown,jane@email.com,(555) 123-4567,25,HR,2020-07-09,44224.009019854915
128,Alice Johnson,bob@email.com,5551234567,26,Marketing,2024-06-20,27580.39510340782
129,Mike Brown,jane@email.m,+1 555 123 4567,27,IT,2020-08-06,
130,Mike Brown,mike@email.com,+1 555 123 4567,34,HR,2023-12-03,45271.4956234546
131,Bob Wilson,bob@email.com,55512345,19,Sales,2023-05-10,13870.709828208823
132,Mike Brown,mike@email.com,(555) 123-4567,22,Sales,2052-09-14,4461.422417041003
133,Alice Johnson,john@email.com,+1-555-123-4567,36,Sales,2052-05-14,6441.764723569868
134,Mike Brown,bob@email.com,+1-555-123-4567,33,HR,2052-02-23,60092.55845226062
135,Bob Wilson,jane@email.com,+1 555 123 4567,36,Finance,2020-04-15,68301.10054278764
136,Bob Wilson,john@email.m,555123,34,Sales,2020-02-25,-1711.1896360287537
137,Alice Johnson,alice@email.com,5551234567,60,IT,2023-03-23,154571.55624129882
138,Jane Smith,jane@email.com,(555) 123-4567,36,Marketing,2022-12-27,55733.99514473249
139,Jane Smith,mike@email.com,+1-555-123-4567,31,Marketing,2024-01-20,64366.865565305096
140,Mike Brown,jane@email.com,5551234567,36,Marketing,2024-10-02,68236.54717731132
141,John Doe,alice@email.com,+1 555 123 4567,45,Finance,2024-02-24,59696.280868573755
142,Mike Brown,jane@email.com,(555) 123-4567,34,Marketing,2021-08-24,67702.72039410101
143,Alice Johnson,john@email.com,(555) 123-4567,41,Marketing,2022-10-31,77597.65231185597
144,Alice Johnson,jane@email.com,+1-555-123-4567,120,HR,2021-03-12,58128.2044150163
145,Alice Johnson,bob@email.com,555.123.4567,120,Finance,2024-06-25,88688.34222616264
146,Alice Johnson,alice@email.com,555123456,36,Finance,2022-03-10,86115.83715191156
147,Alice Johnson,jane@email.com,555.123.4567,5,HR,2021-11-29,47464.985434437665
148,Bob Wilson,alice@email.com,5551234567,37,IT,2021-02-17,179188.7526648424
149,Jane Smith,john@email.com,(555) 123-4567,25,Marketing,2020-08-18,68863.1570444063
150,Alice Johnson,bob@email.com,(555) 123-4567,31,IT,2020-05-16,156956.2128506408
151,John Doe,mike@email.com,555.123.4567,13,HR,2052-07-16,48793.86564041633
152,John Doe,jane@email.com,+1-555-123-4567,-10,HR,2021-02-04,44594.400286574986
153,John Doe,john@email.com,155512345,48,HR,2052-07-23,48889.05994091583
154,John Doe,alice@email.m,5551234567,21,HR,2021-07-22,59723.73804765536
155,Bob Wilson,alice@email.com,(555) 123-4567,36,Sales,2022-09-08,17884.60435867661
156,John Doe,john@email.com,+1-555-123-4567,44,HR,2020-02-19,43643.234025772945
157,Alice Johnson,jane@email.com,(555) 123-4567,45,IT,2021-04-24,175406.7990832117
158,Mike Brown,mike@email.com,5551234567,47,HR,2021-08-07,60212.22546761033
159,John Doe,jane@email.com,+1 555 123 4567,16,IT,2022-04-28,157146.4484811621
160,Bob Wilson,bob@email.com,(555) 123-4567,40,HR,2052-12-08,61839.5417627935
161,Bob Wilson,jane@email.com,555.123.4567,19,HR,2052-09-18,57700.04165167421
162,John Doe,bob@email.com,+1-555-123-4567,25,Sales,2024-11-22,13377.015821491086
163,Mike Brown,alice@email.com,+1 555 123 4567,43,HR,2020-07-26,59751.15075034171
164,John Doe,bob@email.com,(555) 123-4567,36,Marketing,2020-04-19,53912.93772793173
165,Bob Wilson,mike@email.com,+1 555 123 4567,42,Sales,2022-01-06,14219.505335501386
166,Jane Smith,john@email.com,555.123.4567,25,Sales,2024-01-13,6860.684035650951
167,Alice Johnson,bob@email.com,55512,49,Marketing,2020-06-19,56210.293394359476
168,Bob Wilson,jane@email.com,155512,41,Sales,2022-03-17,30213.078624722413
169,John Doe,bob@email.com,55512345,43,HR,2022-12-01,49882.82588695639
170,Alice Johnson,alice@email.com,(555) 123-4567,24,Marketing,2021-12-16,55000.31121575304
171,John Doe,bob@email.com,+1 555 123 4567,46,HR,2022-09-29,45283.1631799578
172,John Doe,mike@email.com,(555) 123-4567,31,Sales,2022-07-18,
173,Jane Smith,bob@email.com,555.123.4567,28,Finance,2024-08-15,83762.78319490615
174,Alice Johnson,mike@email.com,+1 555 123 4567,41,Marketing,2021-08-12,85458.06654420432
175,Alice Johnson,jane@email.com,+1 555 123 4567,40,IT,2022-06-23,167057.38244490456
176,Jane Smith,alice@email.com,555.123.4567,26,Sales,2023-11-03,23263.183417489552
177,Bob Wilson,john@email.com,555.123.4567,55,Finance,2024-10-23,103117.37223884067
178,John Doe,jane@email.com,555.123.4567,53,Sales,2024-03-12,13485.76823484713
179,Mike Brown,jane@email.com,(555) 123-4567,41,HR,2022-02-16,60663.03322741064
180,John Doe,john@email.com,(555) 123-4567,39,HR,2020-08-03,46603.984450525226
181,John Doe,bob@email.com,5551234567,38,HR,2024-08-24,47118.38299014312
182,Bob Wilson,bob@email.com,(555) 123-4567,19,Finance,2021-08-10,
183,John Doe,bob@email.com,555.123.4567,36,HR,2021-06-21,49143.87600078379
184,Jane Smith,alice@email.com,5551234567,35,Sales,2021-06-30,17900.78978028196
185,Jane Smith,jane@email.com,555.123.4567,29,Sales,2020-03-17,24299.06686095212
186,Alice Johnson,mike@email.m,+1-555-123-4567,31,Sales,2021-12-23,14908.574956241155
187,Mike Brown,john@email.com,+1 555 123 4567,11,Marketing,2022-09-08,65904.09118680918
188,John Doe,jane@email.com,+1-555-123-4567,24,Sales,2052-01-17,660.1684743691221
189,John Doe,bob@email.com,555.123.4567,44,HR,2022-11-12,56259.33097226911
190,Bob Wilson,john@email.com,(555) 123-4567,52,Marketing,2020-03-05,75188.2321761594
191,Jane Smith,mike@email.com,+1 555 123 4567,25,Marketing,2021-06-03,66994.12226221427
192,Mike Brown,jane@email.com,(555) 123-4567,36,Marketing,2021-05-07,71730.69834778465
193,Alice Johnson,jane@email.com,(555) 123-4567,45,Marketing,2052-04-09,57463.110218931666
194,Jane Smith,alice@email.com,155512,29,Finance,2024-03-04,102763.73813218618
195,Alice Johnson,jane@email.com,155512345,41,Sales,2023-10-28,22282.33745879747
196,Bob Wilson,jane@email.com,+1-555-123-4567,34,Finance,2024-10-27,55923.041746117
197,Bob Wilson,mike@email.com,555.123.4567,46,IT,2020-05-20,177153.8815842795
198,John Doe,mike@email.com,(555) 123-4567,22,Finance,2024-11-06,90766.00857487283
199,Mike Brown,john@email.com,555.123.4567,23,Marketing,2023-04-15,81844.68746714455
200,Alice Johnson,bob@email.com,555.123.4567,37,Sales,2024-11-25,39966.47064548734
201,Jane Smith,mike@email.comm,5551234567,35,Sales,2023-02-02,36101.789847164124
202,Bob Wilson,john@email.com,+1-555-123-4567,34,HR,2024-07-31,53791.83819050777
203,John Doe,jane@email.com,(555) 123-4567,40,Finance,2023-02-28,90695.4160128729
204,John Doe,john@email.cam,155512345,25,Sales,2052-07-10,
205,Alice Johnson,john@email.com,+1 555 123 4567,21,IT,2022-11-16,162229.97297461098
206,Bob Wilson,john@email.com,555.123.4567,29,IT,2023-09-26,194842.33944960212
207,Mike Brown,john@email.com,+1-555-123-4567,31,Finance,2024-03-26,54084.973262874715
208,Bob Wilson,mike@email.com,+1-555-123-4567,32,HR,2023-05-24,52481.93161417721
209,Alice Johnson,bob@email.com,(555) 123-4567,47,IT,2052-02-08,164605.54521318048
210,Alice Johnson,john@email.coom,(555) 123-4567,42,HR,2022-10-27,56826.763368282125
211,Bob Wilson,alice@email.com,555.123.4567,40,Finance,2024-09-01,82979.24655272084
212,Alice Johnson,jane@email.com,555.123.4567,37,Sales,2022-05-13,34574.84999384798
213,Bob Wilson,jane@email.com,555.123.4567,30,HR,2022-04-08,50121.168657417766
214,Jane Smith,jane@email.com,5551234567,26,IT,2024-05-18,172742.65193957032
215,Bob Wilson,jane@email.com,155512,23,HR,2020-10-10,52925.46843303275
216,Bob Wilson,jane@email.com,555.123.4567,28,Sales,2021-02-13,16500.63980035971
217,Alice Johnson,john@email.com,+1-555-123-4567,34,Sales,2022-05-10,14791.59453006808
218,Alice Johnson,bob@email.com,+1 555 123 4567,23,IT,2052-09-24,177778.60998025135
219,John Doe,alice@email.comm,+1 555 123 4567,36,HR,2021-11-22,54999.57377748314
220,John Doe,mike@email.com,+1-555-123-4567,33,HR,2021-04-02,57969.617919257624
221,Jane Smith,alice@email.cam,+1 555 123 4567,31,Marketing,2022-06-18,
222,John Doe,mike@email.com,155512345,120,IT,2020-04-15,159822.13148208003
223,Bob Wilson,mike@email.c,+1 555 123 4567,10,HR,2023-03-19,47833.3871088391
224,Alice Johnson,alice@email.com,(555) 123-4567,31,Finance,2020-09-22,74887.94152812682
225,John Doe,john@email.com,(555) 123-4567,11,Marketing,2022-06-18,74280.16051310123
226,John Doe,jane@email.com,+1-555-123-4567,37,IT,2021-10-08,165908.73893027063
227,Jane Smith,john@email.com,+1-555-123-4567,42,Sales,2020-07-09,22199.124691276407
228,Jane Smith,jane@email.com,5551234567,21,IT,2023-06-19,154452.5453424732
229,Bob Wilson,bob@email.com,(555) 123-4567,22,Finance,2024-06-10,92360.54343167714
230,Alice Johnson,mike@email.com,+1-555-123-4567,18,Finance,2023-05-03,92857.20452496297
231,Jane Smith,alice@email.com,55512,35,Sales,2020-03-28,26732.122130977896
232,John Doe,bob@email.com,5551234567,31,Sales,2023-10-22,21953.750984776492
233,Alice Johnson,jane@email.cam,+1-555-123-4567,32,Sales,2024-02-17,
234,Alice Johnson,john@email.com,+1-555-123-4567,31,Marketing,2020-12-26,64558.92005534807
235,John Doe,alice@email.com,1555123,25,Finance,2020-04-25,101293.86475655841
236,Jane Smith,mike@email.com,+1-555-123-4567,46,Sales,2022-04-23,28578.56521494353
237,John Doe,bob@email.com,555.123.4567,37,Finance,2022-02-27,61066.64989813593
238,Alice Johnson,mike@email.com,(555) 123-4567,23,Marketing,2023-12-26,
239,Mike Brown,jane@email.com,(555) 123-4567,27,Marketing,2021-05-05,67924.39824854983
240,Mike Brown,mike@email.comm,(555) 123-4567,26,Finance,2022-02-23,69550.46654565688
241,Bob Wilson,john@email.com,5551234567,49,Sales,2022-08-20,32954.72347656637
242,John Doe,bob@email.com,555.123.4567,42,IT,2024-01-26,145239.20648707365
243,John Doe,bob@email.com,(555) 123-4567,33,HR,2023-10-11,56430.341745746766
244,Bob Wilson,john@email.com,(555) 123-4567,5,Finance,2021-04-24,90355.25075037188
245,Bob Wilson,mike@email.com,+1-555-123-4567,49,Marketing,2024-03-24,47112.549287472604
246,Bob Wilson,john@email.com,+1-555-123-4567,32,Sales,2023-12-18,21242.054878942727
247,Alice Johnson,alice@email.com,155512,30,HR,2024-11-12,46520.21228467334
248,John Doe,john@email.com,(555) 123-4567,31,Finance,2023-11-08,101262.94714558123
249,Alice Johnson,mike@email.com,+1-555-123-4567,25,IT,2052-11-07,156625.07297959804
250,Bob Wilson,john@email.com,(555) 123-4567,52,IT,2022-09-22,
251,John Doe,jane@email.com,5551234567,24,Marketing,2024-10-25,73984.88532761091
252,Alice Johnson,john@email.com,5551234567,43,Marketing,2024-09-18,61466.65982383241
253,Alice Johnson,john@email.com,+1 555 123 4567,41,Marketing,2023-02-19,76679.67026657122
254,Bob Wilson,mike@email.com,555.123.4567,31,Finance,2021-12-08,73767.1530562837
255,John Doe,alice@email.com,+1-555-123-4567,53,IT,2022-08-01,178325.4022451937
256,Bob Wilson,alice@email.cm,+1-555-123-4567,19,IT,2021-12-01,191043.60429515605
257,John Doe,mike@email.com,555.123.4567,34,Marketing,2020-09-17,73372.16016847594
258,Mike Brown,mike@email.com,5551234,30,Marketing,2020-01-07,70509.52867047969
259,Jane Smith,mike@email.com,+1 555 123 4567,44,Sales,2021-04-03,14322.632168763714
260,Jane Smith,jane@email.com,555.123.4567,38,IT,2022-05-20,183570.53470199398
261,Jane Smith,bob@email.com,(555) 123-4567,17,Marketing,2021-10-30,72994.1214965234
262,Bob Wilson,john@email.com,+1-555-123-4567,47,Marketing,2020-01-28,60856.092717698346
263,Mike Brown,mike@email.com,555.123.4567,39,Marketing,2022-04-04,78492.03586217627
264,John Doe,mike@email.com,(555) 123-4567,24,Sales,2021-02-25,
265,Alice Johnson,mike@email.com,555.123.4567,31,IT,2021-12-23,171768.46435219125
266,John Doe,alice@email.com,(555) 123-4567,120,IT,2021-07-14,
267,Alice Johnson,mike@email.com,5551234567,33,IT,2052-05-28,155614.1315299569
268,John Doe,john@email.com,(555) 123-4567,36,Sales,2024-12-08,9360.850123095352
269,Mike Brown,mike@email.cam,+1 555 123 4567,31,Finance,2024-09-04,74279.22704931376
270,Alice Johnson,john@email.com,(555) 123-4567,30,Sales,2023-10-13,26158.144757033642
271,Bob Wilson,jane@email.com,555.123.4567,18,HR,2021-12-23,47615.27637443399
272,John Doe,bob@email.com,5551234567,38,Sales,2024-02-13,10504.465379139827
273,John Doe,alice@email.cam,5551234567,15,HR,2020-10-27,42391.10709323852
274,Alice Johnson,john@email.com,(555) 123-4567,35,Marketing,2023-11-13,76398.33226101752
275,Bob Wilson,jane@email.com,555.123.4567,17,HR,2052-04-07,49020.0037518163
276,Bob Wilson,bob@email.com,5551234567,35,Sales,2022-07-19,-3491.777560138875
277,Mike Brown,bob@email.com,(555) 123-4567,34,Finance,2052-07-04,79883.83559009577
278,Bob Wilson,bob@email.com,555123,39,IT,2023-02-08,160846.12612311094
279,Bob Wilson,john@email.com,555123,43,Sales,2021-11-01,22453.57222275803
280,Bob Wilson,jane@email.com,5551234567,45,IT,2052-07-03,159327.754578906
281,Jane Smith,mike@email.com,+1-555-123-4567,18,HR,2021-02-27,60295.006612642224
282,Mike Brown,jane@email.com,555.123.4567,120,Marketing,2021-09-02,63619.47661683843
283,John Doe,jane@email.com,+1 555 123 4567,55,Marketing,2021-02-27,63106.41201633069
284,Alice Johnson,jane@email.com,+1 555 123 4567,36,Sales,2021-12-01,16207.46784659564
285,John Doe,john@email.com,555.123.4567,26,HR,2024-03-27,53789.51001559786
286,Mike Brown,john@email.com,+1-555-123-4567,34,HR,2023-06-24,53159.46200203398
287,Alice Johnson,john@email.com,555.123.4567,31,IT,2021-12-22,161091.57350793277
288,Mike Brown,jane@email.com,(555) 123-4567,23,HR,2022-01-01,
289,Bob Wilson,john@email.coom,555.123.4567,43,Finance,2024-12-09,76204.79286208746
290,Alice Johnson,bob@email.com,555.123.4567,40,Marketing,2021-02-17,72647.37295441821
291,Bob Wilson,john@email.com,5551234567,21,Finance,2052-07-23,60668.18102926806
292,John Doe,alice@email.com,+1 555 123 4567,34,Finance,2022-07-01,74890.89262095741
293,John Doe,john@email.com,+1 555 123 4567,29,IT,2020-03-13,163044.51439369758
294,Alice Johnson,john@email.com,(555) 123-4567,18,HR,2023-10-14,61157.458111828135
295,Alice Johnson,john@email.com,(555) 123-4567,20,IT,2021-02-09,176753.43978016067
296,Mike Brown,john@email.com,5551234567,22,Marketing,2024-05-10,68529.38495240525
297,Mike Brown,alice@email.com,(555) 123-4567,34,IT,2022-04-09,155055.86262836677
298,Bob Wilson,mike@email.com,+1-555-123-4567,-10,Finance,2021-07-22,80858.62294791304
299,Alice Johnson,john@email.com,5551234567,25,IT,2021-10-16,183796.47274890868
300,John Doe,bob@email.com,5551234567,31,HR,2023-10-04,48810.443014664415
301,Mike Brown,alice@email.com,555.123.4567,42,IT,2023-10-31,166286.18188700578
302,Mike Brown,mike@email.com,555.123.4567,38,HR,2024-05-08,51491.28595940678
303,John Doe,john@email.com,+1-555-123-4567,45,Finance,2021-10-17,67253.43451409593
304,Mike Brown,mike@email.com,5551234567,32,HR,2024-10-13,43528.19737573747
305,Bob Wilson,bob@email.com,5551234567,51,HR,2024-11-02,43519.97914046548
306,Alice Johnson,alice@email.com,555123,38,HR,2021-02-11,47613.8194544444
307,John Doe,alice@email.com,+1 555 123 4567,30,HR,2021-08-14,53537.618152754505
308,Alice Johnson,mike@email.m,+1 555 123 4567,35,Marketing,2022-06-01,66529.423922343
309,Mike Brown,john@email.c,555.123.4567,22,Sales,2021-12-20,26088.54536782217
310,Mike Brown,jane@email.com,(555) 123-4567,31,Marketing,2023-12-03,84443.69684977227
311,John Doe,alice@email.com,5551234567,39,IT,2023-02-24,190948.58210882812
312,Bob Wilson,jane@email.com,+1-555-123-4567,41,Marketing,2052-01-15,65844.55270015521
313,Jane Smith,alice@email.com,+1 555 123 4567,30,Marketing,2021-11-25,73308.70070209846
314,John Doe,john@email.cam,(555) 123-4567,120,HR,2021-03-09,55272.839441842356
315,Jane Smith,john@email.com,5551234567,33,IT,2023-02-20,175769.4071238826
316,Jane Smith,alice@email.com,(555) 123-4567,18,IT,2023-04-16,175416.92400988398
